127.0.0.1 - - [15/Jul/2022:11:39:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:39:23 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:39:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:48:12 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:48:55 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:02 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:06 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:07 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:09 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:09 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:10 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:11 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:11 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:13 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:14 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:16 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:36 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:39 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:41 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:53:41 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:55:44 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:56:14 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [15/Jul/2022:11:56:23 +0530] "GET /JspExample/first.jsp HTTP/1.1" 200 203
